Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
237721,Poison Study (Study #1),Maria V. Snyder,"Snyder, Maria V.",,0373802579,9780373802579,5,4.08,Luna Books,Mass Market Paperback,427,2006,2005,2012/12/12,2012/12/05,fiction,fiction (#127),read,,,,1,,,0,,,,,
16166007,Sérum : Saison 1 - Épisode 6,Henri Loevenbruck,"Loevenbruck, Henri",Fabrice Mazza,2290041696,9782290041697,4,4.10,J'AI LU - LIBRIO,Paperback,,2012,2012,2012/12/24,2012/11/30,fiction,fiction (#126),read,,,,1,,,0,,,,,
4639576,"Entre chiens et loups (Entre chiens et loups, #1)",Malorie Blackman,"Blackman, Malorie",Amélie Sarn,2745918494,9782745918499,5,4.22,Milan,Broché,396,2005,2001,2013/01/02,2012/12/03,fiction,fiction (#125),read,,,,1,,,0,,,,,
9284655,"Tiger's Curse (The Tiger Saga, #1)",Colleen Houck,"Houck, Colleen",,1402784031,9781402784033,3,4.06,Sterling,Hardcover,403,2011,2011,2013/01/24,2012/08/14,"fiction, vo-anglaise","fiction (#124), vo-anglaise (#38)",read,,,,1,,,0,,,,,
17999480,Wonder,R.J. Palacio,"Palacio, R.J.",Juliette Lê,2265097381,9782265097384,4,4.41,Fleuve Noir,Paperback,410,2013,2012,2013/01/25,2013/01/23,fiction,fiction (#123),read,,,,1,,,0,,,,,
11334262,"""20 Ans"": Je Hais Les Jeunes Filles:  ""20 Ans Magazine"", Anthologie",Marie Barbier,"Barbier, Marie",,2919547011,9782919547012,4,4.00,Éd. Rue Fromentin,,241,2011,2011,2013/02/05,2013/01/25,non-fiction,non-fiction (#48),read,,,,1,,,0,,,,,
10756715,Mort de Bunny Munro,Nick Cave,"Cave, Nick",,2757821040,9782757821046,3,3.41,Seuil,Paperback,352,2011,2009,2013/02/06,2012/08/21,fiction,fiction (#122),read,,,,1,,,0,,,,,
2526343,"La couleur de la haine (Entre chiens et loups, #2)",Malorie Blackman,"Blackman, Malorie",Amélie Sarn,2745920359,9782745920355,4,4.08,Milan,Broché,416,2006,2003,2013/02/15,2012/12/03,fiction,fiction (#121),read,,,,1,,,0,,,,,
303128,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,0553571338,9780553571332,5,4.13,Bantam Books for Young Readers,Mass Market Paperback,180,1999,1993,2013/02/18,2013/02/15,"fiction, vo-anglaise","fiction (#120), vo-anglaise (#37)",read,,,,1,,,0,,,,,
7942922,Les âmes vagabondes,Stephenie Meyer,"Meyer, Stephenie",,2253129321,9782253129325,5,3.84,Livre de Poche,Paperback,829,2010,2008,2013/03/01,2013/02/20,fiction,fiction (#119),read,,,,1,,,0,,,,,
820040,Fin de partie,Samuel Beckett,"Beckett, Samuel",,2707300705,9782707300706,4,3.81,Éditions de Minuit,Paperback,112,1957,1957,2013/03/10,2013/03/09,fiction,fiction (#118),read,,,,1,,,0,,,,,
13603707,Le vieux qui ne voulait pas fêter son anniversaire,Jonas Jonasson,"Jonasson, Jonas",,2266218522,9782266218528,2,3.82,Pocket,Mass Market Paperback,506,2012,2009,2013/03/19,2013/02/18,fiction,fiction (#117),read,,,,1,,,0,,,,,
15827609,"Cinquante nuances de Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",Denyse Beaulieu,2709642522,9782709642521,3,3.66,JC Lattès,Paperback,551,2012,2011,2013/03/24,2013/03/19,fiction,fiction (#116),read,,,,1,,,0,,,,,
99561,Looking for Alaska,John Green,"Green, John",,,,3,4.00,Speak,Paperback,221,2006,2005,2013/04/13,2013/03/24,"fiction, vo-anglaise","fiction (#115), vo-anglaise (#36)",read,,,,1,,,0,,,,,
11495216,D'acier,Silvia Avallone,"Avallone, Silvia",Françoise Brun,2867465672,9782867465673,5,3.52,Liana Levi,Hardcover,387,2011,2010,2013/05/06,2012/08/13,fiction,fiction (#114),read,,,,1,,,0,,,,,
861594,L'apprentie magicienne,Maria V. Snyder,"Snyder, Maria V.",,2280154471,9782280154475,4,4.02,Harlequin,Paperback,512,2007,2006,2013/05/18,2013/05/06,fiction,fiction (#113),read,,,,1,,,0,,,,,
52350,The Stepford Wives,Ira Levin,"Levin, Ira",Peter Straub,0060080841,9780060080846,5,3.79,Perennial,Paperback,144,2002,1972,2013/05/19,2013/03/14,fiction,fiction (#112),read,,,,1,,,0,,,,,
4758093,"L.A. Candy (L.A. Candy, #1)",Lauren Conrad,"Conrad, Lauren",,0061767581,9780061767586,4,3.35,HarperCollins,Hardcover,326,2009,2009,2013/05/25,2012/06/19,"fiction, vo-anglaise","fiction (#110), vo-anglaise (#35)",read,,,,1,,,0,,,,,
1920720,La Perle,John Steinbeck,"Steinbeck, John","Renée Vavasseur, Marcel Duhamel",2070364283,9782070364282,4,3.49,Gallimard,Mass Market Paperback,121,1973,1947,2013/06/06,2013/05/31,fiction,fiction (#109),read,,,,1,,,0,,,,,
8699200,"Les hommes qui n'aimaient pas les femmes (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",,2742793097,9782742793099,4,4.14,Babel,Mass Market Paperback,706,2010,2005,2013/06/09,2013/05/25,fiction,fiction (#108),read,,,,1,,,0,,,,,
6525824,"Fièvre noire (Les chroniques de MacKayla Lane, #1)",Karen Marie Moning,"Moning, Karen Marie",Cécile Desthuilliers,2290013854,9782290013854,4,4.05,J'ai Lu,Paperback,413,2009,2006,2013/06/16,2012/02/27,fiction,fiction (#107),read,,,,1,,,0,,,,,
1253871,La Cloche de détresse,Sylvia Plath,"Plath, Sylvia",Michel Persitz,2070712184,9782070712182,4,4.02,Gallimard,Mass Market Paperback,280,1988,1963,2013/06/21,2012/08/21,fiction,fiction (#106),read,,,,1,,,0,,,,,
17664671,"Delirium 3 (Delirium, #3)",Lauren Oliver,"Oliver, Lauren",Alice Delarbre,2012028632,9782012028630,3,3.74,Hachette,Paperback,416,2013,2013,2013/06/25,2013/06/21,fiction,fiction (#105),read,,,,1,,,0,,,,,
6950175,"Fièvre rouge (Les chroniques de MacKayla Lane, #2)",Karen Marie Moning,"Moning, Karen Marie",Cécile Desthuilliers,2290017183,9782290017180,4,4.26,J'ai Lu,Mass Market Paperback,440,2010,2007,2013/07/03,2012/02/27,fiction,fiction (#104),read,,,,1,,,0,,,,,
9841548,L'éternité de Saintange (La guerre des Sambre : Werner & Charlotte #1),Yslaire,"Yslaire, Yslaire",Marc-Antoine Boidin,2754800948,9782754800945,5,3.87,Futuropolis Gallisol Editions ,Hardcover,,2010,2010,2013/07/03,2013/07/03,graphique,graphique (#79),read,,,,1,,,0,,,,,
3105766,"L'engrenage (Le Tueur, #2)",Matz,"Matz, Matz",Luc Jacamon,2203389419,9782203389410,4,3.74,Casterman,Hardcover,64,2000,2000,2013/07/04,2013/07/04,graphique,graphique (#78),read,,,,1,,,0,,,,,
9725509,"Les jambes De Martha (Berceuse assassine, #2)",Tome,"Tome, Tome",Ralph Meyer,2871291721,9782871291725,3,3.85,Dargaud Benelux,Hardcover,52,1999,1999,2013/07/05,2013/07/04,graphique,graphique (#77),read,,,,1,,,0,,,,,
299199,"La Mémoire De Dillon (Berceuse assassine, #3)",Tome,"Tome, Tome",Ralph Meyer,2871293031,9782871293033,3,4.06,Dargaud Benelux,Hardcover,52,2002,2002,2013/07/05,2013/07/04,graphique,graphique (#76),read,,,,1,,,0,,,,,
3895434,Antigone,Jean Anouilh,"Anouilh, Jean",,2710330407,9782710330400,4,3.81,La Table Ronde,Mass Market Paperback,128,2008,1944,2013/07/14,2013/07/06,fiction,fiction (#103),read,,,,1,,,0,,,,,
1810259,"Entretien avec un vampire (Chroniques des vampires, tome 1)",Anne Rice,"Rice, Anne",,2266120182,9782266120180,4,4.00,Pocket,Poche,443,2006,1976,2013/07/14,2013/07/05,fiction,fiction (#102),read,,,,1,,,0,,,,,
237758,La grammaire est une chanson douce (Plaisirs secrets de la grammaire #1),Érik Orsenna,"Orsenna, Érik",Bigre !,2253149101,9782253149101,3,3.74,Le Livre de Poche,Mass Market Paperback,151,2003,2001,2013/07/20,2013/07/06,fiction,fiction (#101),read,,,,1,,,0,,,,,
7947385,"Fièvre faë (Les chroniques de MacKayla Lane, #3)",Karen Marie Moning,"Moning, Karen Marie",Cécile Desthuilliers,2290017205,9782290017203,4,4.30,J'ai Lu,Paperback,447,2010,2008,2013/07/22,2013/07/06,fiction,fiction (#100),read,,,,1,,,0,,,,,
1663722,Maus - Un Survivant Raconte (Maus #1-2),Art Spiegelman,"Spiegelman, Art",,2080675346,9782080675347,5,4.53,Flammarion,Hardcover,296,1998,1994,2013/08/04,2013/08/03,"graphique, non-fiction","graphique (#75), non-fiction (#47)",read,,,,1,,,0,,,,,
8230198,Quitter le monde,Douglas Kennedy,"Kennedy, Douglas",Bernard Cohen,,,4,3.68,Pocket,Mass Market Paperback,694,2010,2009,2013/08/06,2013/07/23,fiction,fiction (#99),read,,,,1,,,0,,,,,
